freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,A03,LT	1.38 	5.01 	3.63 	3.92 	3.42 	4.81 	4.61 	4.31 	5.7 	5.2 	5.24 
A,ENV,MIO_EUR,A03,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,ENV,MIO_EUR,A03,LV	2.48 	2.69 	2.81 	4.3 	4.2 	3.32 	3.23 	3.19 	2.12 	3.33 	3.1 
A,ENV,MIO_EUR,A03,MK	: 	: 	: 	: 	: 	: 	0.03 	0.11 	0.12 	0.12 	: 
A,ENV,MIO_EUR,A03,MT	1.08 	1.47 	3.48 	2.53 	2.32 	3.84 	3.33 	1.08 	0.97 	0.95 	1.03 
A,ENV,MIO_EUR,A03,NL	9 	7 	7 	10 	9 	10 	9 	10 	9 	5 	6 p
A,ENV,MIO_EUR,A03,NO	25.11 	41.06 	44.69 	51.67 	54.57 	58.04 	54 	78.24 	96.03 	117.1 	124.73 
A,ENV,MIO_EUR,A03,PL	7.45 	7.47 	7.92 	5.94 	6.54 	10.1 	7.03 	8 	7.51 	7.03 	7.99 
A,ENV,MIO_EUR,A03,PT	4.38 	4.41 	4.99 	2.86 	3.32 	2.66 	2.76 	2.89 	2.87 	4.2 	4.16 
A,ENV,MIO_EUR,A03,RO	0.14 	0.12 	0.16 	0.14 	0.1 	0.12 	0.12 	0.13 	0.15 	0.15 	0.15 
A,ENV,MIO_EUR,A03,RS	0.25 	0.07 	0.09 	0.08 	0.1 	0.1 	0.12 	0.12 	0.12 	0.13 	0.15 
A,ENV,MIO_EUR,A03,SE	1.83 	1.53 	1.51 	1.43 	1.37 	1.15 	1.1 	1.06 	1.17 	0.96 	0.88 
A,ENV,MIO_EUR,A03,SI	0.05 	0.05 	0.06 	0.07 	0.07 	0.09 	0.08 	0.06 	0.07 	0.06 	0.06 
A,ENV,MIO_EUR,A03,SK	0.75 	0.71 	0.71 	0.55 	0.76 	0.89 	0.24 	0.09 	0.18 	0.12 p	0.13 ep
A,ENV,MIO_EUR,A03,TR	36.04 	31.71 	33.98 	34.06 	31.21 	19.77 	19.49 	17.41 	6.2 	9.02 	13.79 
A,ENV,MIO_EUR,B,AT	56.67 	58.15 	58.77 	55.79 	62.8 	64.34 	62.11 	50.43 	63.44 	43.28 	40.71 
