freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TRA,MIO_EUR,C20,AT	3.24 	3.71 	3.7 	3.92 	4.19 	4.27 	4.42 	4.37 	4.49 	4.87 	5.08 
A,TRA,MIO_EUR,C20,BE	7.33 	7.56 	4.92 	5.03 	4.97 	4.59 	4.52 	5.91 	4.98 	4.98 e	5.22 e
A,TRA,MIO_EUR,C20,BG	0.29 	0.3 	0.32 	0.25 	0.25 	0.26 	0.32 	0.3 	0.29 	0.31 	0.33 
A,TRA,MIO_EUR,C20,CY	0.09 	0.09 	0.07 	0.09 	0.07 	0.08 	0.07 	0.06 	0.07 	0.07 	0.07 
A,TRA,MIO_EUR,C20,CZ	0.62 	0.58 	0.66 	0.74 	0.72 	0.78 	0.62 	0.6 	0.55 	0.08 	0.08 
A,TRA,MIO_EUR,C20,DE	28.37 	30.23 	26.69 	25.89 	26.87 	25.28 	25.39 e	23.54 e	27.98 e	22.92 e	24.72 ep
A,TRA,MIO_EUR,C20,DK	1.62 	1.3 	1 	0.98 	1.02 	0.84 	0.81 	1.03 	1.02 	0.9 p	0.88 p
A,TRA,MIO_EUR,C20,EE	0.02 	0.02 	0.01 	0.01 	0.01 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 
A,TRA,MIO_EUR,C20,EL	0.81 	0.83 	0.85 	0.88 	0.87 	0.94 	0.94 	0.88 	0.92 	1 	1.07 
A,TRA,MIO_EUR,C20,ES	0.59 	0.56 	0.56 	0.6 	0.61 	0.62 	0.63 	0.59 	0.65 	0.73 	0.75 
A,TRA,MIO_EUR,C20,EU27_2020	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C20,FI	0.84 	0.74 	2.87 b	3.82 	4.79 	3.98 	3.02 	2.69 	2.65 	1.53 	1.42 
A,TRA,MIO_EUR,C20,FR	68.99 e	65.52 e	57.43 e	50.27 e	50.56 e	60.21 e	55.1 e	43.09 e	55.73 e	52.03 p	45.78 p
A,TRA,MIO_EUR,C20,HR	0.48 	0.47 	0.48 	0.51 	0.56 	0.54 	0.55 	0.51 	0.51 	0.52 	0.56 
A,TRA,MIO_EUR,C20,HU	0.91 	0.8 	0.89 	0.97 	42.24 	1.07 	0.88 	1.03 	1.05 	1.26 	1.2 
A,TRA,MIO_EUR,C20,IE	0.5 	0.76 	0.73 	0.77 	0.78 	0.76 	0.64 	0.73 	1.13 	1.2 	1.31 
A,TRA,MIO_EUR,C20,IS	0.04 	0.02 	0.05 	0.02 	0.02 	0.02 	0.02 	0.01 	0.02 	0.02 	0.03 
A,TRA,MIO_EUR,C20,IT	5.35 	5.35 	5.43 	5.84 	6.07 	5.91 	5.99 	5.21 	5.35 	5.66 	5.83 
A,TRA,MIO_EUR,C20,LT	0.03 	0.03 	0.03 	0.04 	0.02 	0.03 	0.02 	0.03 	0.03 	0.03 	0.04 
A,TRA,MIO_EUR,C20,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C20,LV	0.09 	0.06 	0.08 	0.12 	0.02 	0.03 	0.03 	0.03 	0.04 	0.05 	0.05 
A,TRA,MIO_EUR,C20,MK	: 	: 	: 	: 	: 	0.16 	0.01 	0.16 	0.19 	0.25 	0.28 
A,TRA,MIO_EUR,C20,MT	0.03 	0.03 	0.04 	0.04 	0.04 	0.04 	0.05 	0.06 	0.06 	0.05 	0.06 
A,TRA,MIO_EUR,C20,NL	1 	1 	1 	0 	1 	1 	1 	0 	0 	1 	0 p
A,TRA,MIO_EUR,C20,NO	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C20,PL	1.86 	1.7 	1.69 	1.93 	1.4 	1.65 	1.65 	1.23 	1.27 	1.36 	1.19 
A,TRA,MIO_EUR,C20,PT	1.04 	1.2 	1.21 	1.31 	1.46 	1.56 	1.79 	1.5 	1.55 	1.68 	1.85 
A,TRA,MIO_EUR,C20,RO	0.46 	0.49 	0.46 	0.46 	0.27 	0.27 	0.24 	0.26 	0.29 	0.3 	0.26 
A,TRA,MIO_EUR,C20,RS	0.42 	0.4 	0.42 	0.33 	0.44 	0.46 	0.52 	0.55 	0.57 	0.59 	0.67 
A,TRA,MIO_EUR,C20,SE	0.71 	0.39 	0.64 	0.94 	0.88 	0.77 	0.81 	0.96 	1.23 	1.15 	1.01 
A,TRA,MIO_EUR,C20,SI	0.09 	0.09 	0.09 	0.09 	0.09 	0.09 	0.19 	0.1 	0.1 	0.11 	0.11 
A,TRA,MIO_EUR,C20,SK	0.56 	0.61 	0.46 	0.58 	0.57 	0.36 	0.39 	0.39 	0.46 	0.41 	0.48 
A,TRA,MIO_EUR,C20,TR	2.53 	2.03 	2.73 	2.62 	2.26 	1.98 	2.19 	2.06 	1.99 	1.59 	2.93 
A,TRA,MIO_EUR,C21,AT	1.41 	1.61 	1.61 	1.7 	1.82 	1.85 	1.92 	1.89 	1.95 	2.11 	2.21 
A,TRA,MIO_EUR,C21,BE	2.68 	2.86 	1.69 	2.56 	2.87 	2.81 	2.39 	2.07 	1.56 	1.56 e	1.63 e
A,TRA,MIO_EUR,C21,BG	0.12 	0.15 	0.19 	0.08 	0.11 	0.08 	0.07 	0.06 	0.06 	0.1 	0.06 
A,TRA,MIO_EUR,C21,CH	3.55 	3.16 	4.77 	4.26 	4.63 	4.43 	4.39 	4.27 	4.04 	4.72 	5.02 p
A,TRA,MIO_EUR,C21,CY	0.04 	0.02 	0.02 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
A,TRA,MIO_EUR,C21,CZ	0.08 	0.07 	0.04 	0.04 	0.04 	0.04 	0.04 	0.08 	0.04 	0 	0 
A,TRA,MIO_EUR,C21,DE	7.9 	8.09 	7.74 	8.09 	6.65 	8.41 	8.66 e	8.63 e	9.28 e	7.63 e	8.19 ep
A,TRA,MIO_EUR,C21,DK	0.68 	0.51 	0.29 	0.28 	0.28 	0.23 	0.24 	0.29 	0.3 	0.28 p	0.27 p
A,TRA,MIO_EUR,C21,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TRA,MIO_EUR,C21,EL	0.16 	0.15 	0.13 	0.15 	0.14 	0.16 	0.15 	0.13 	0.14 	0.14 	0.15 
A,TRA,MIO_EUR,C21,ES	0.05 	0.04 	0.05 	0.05 	0.05 	0.06 	0.06 	0.05 	0.05 	0.05 	0.06 
A,TRA,MIO_EUR,C21,FI	0.11 	0.11 	0.11 b	0.12 	0.13 	0.12 	0.12 	0.1 	0.09 	0.08 	0.23 
A,TRA,MIO_EUR,C21,FR	8.48 e	8.18 e	7.67 e	7.23 e	8.13 e	9.6 e	9.35 e	6.62 e	6.75 e	8.11 p	8.16 p
A,TRA,MIO_EUR,C21,HR	0.21 	0.2 	0.2 	0.22 	0.24 	0.23 	0.24 	0.21 	0.21 	0.22 	0.25 
A,TRA,MIO_EUR,C21,HU	1.05 	0.91 	1 	1.09 	2.33 	1.18 	0.96 	1.06 	1.06 	1.26 	1.15 
A,TRA,MIO_EUR,C21,IE	0.11 	0.14 	0.15 	0.12 	0.11 	0.17 	0.1 	0.11 	0.1 	0.09 	0.09 
A,TRA,MIO_EUR,C21,IS	0.01 	0.07 	0.05 	0.03 	0.01 	0 	0.01 	0 	0.01 	0.01 	0.02 
A,TRA,MIO_EUR,C21,IT	0.93 	1.01 	1.03 	1.07 	1.21 	1.2 	1.27 	0.98 	1.15 	1.08 	1 
A,TRA,MIO_EUR,C21,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TRA,MIO_EUR,C21,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C21,LV	0.03 	0.04 	0.05 	0.05 	0.08 	0.06 	0.06 	0.06 	0.09 	0.07 	0.1 
A,TRA,MIO_EUR,C21,MK	: 	: 	: 	: 	: 	0.03 	0 	0.03 	0.04 	0.04 	0.05 
A,TRA,MIO_EUR,C21,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TRA,MIO_EUR,C21,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 p
A,TRA,MIO_EUR,C21,NO	0 	0 	0 	0.43 	0.64 	0.63 	0.91 	0.09 	0.1 	0.49 	0.88 
A,TRA,MIO_EUR,C21,PL	0.47 	0.66 	0.63 	0.59 	0.47 	0.69 	0.55 	0.33 	0.28 	0.44 	0.61 
A,TRA,MIO_EUR,C21,PT	0.12 	0.15 	0.12 	0.19 	0.23 	0.24 	0.28 	0.25 	0.26 	0.28 	0.31 
A,TRA,MIO_EUR,C21,RO	0.4 	0.27 	0.23 	0.14 	0.09 	0.08 	0.08 	0.08 	0.1 	0.1 	0.08 
A,TRA,MIO_EUR,C21,RS	0.08 	0.07 	0.08 	0.12 	0.1 	0.12 	0.12 	0.13 	0.13 	0.14 	0.15 
A,TRA,MIO_EUR,C21,SE	0.02 	0.02 	0.02 	0.1 	0.08 	0.08 	0.07 	0.08 	0.1 	0.1 	0.07 
A,TRA,MIO_EUR,C21,SK	0.09 	0.11 	0.08 	0.08 	0.08 	0.06 	0.07 	0.07 	0.07 	0.08 	0.08 
A,TRA,MIO_EUR,C21,TR	0.1 	0.14 	0.42 	0.35 	0.26 	0.22 	0.23 	0.23 	0.22 	0.17 	0.36 
A,TRA,MIO_EUR,C22,AT	2.12 	2.42 	2.42 	2.56 	2.74 	2.79 	2.89 	2.86 	2.94 	3.19 	3.33 
A,TRA,MIO_EUR,C22,BE	2.45 	2.62 	2.36 	2.21 	2.17 	2.15 	2.16 	2.4 	2.44 	2.43 e	2.56 e
A,TRA,MIO_EUR,C22,BG	0.31 	0.28 	0.33 	0.33 	0.4 	0.34 	0.42 	0.42 	0.45 	0.4 	0.47 
A,TRA,MIO_EUR,C22,CH	2.56 	2.28 	3.4 	3.01 	3.25 	3.14 	3 	2.71 	2.6 	3.16 	3.57 p
A,TRA,MIO_EUR,C22,CY	0.08 	0.08 	0.08 	0.07 	0.06 	0.06 	0.06 	0.06 	0.06 	0.06 	0.06 
A,TRA,MIO_EUR,C22,CZ	0.96 	0.94 	1.06 	1.11 	0.99 	1.13 	1.17 	0.98 	1.17 	0.16 	0.04 
A,TRA,MIO_EUR,C22,DE	13.02 	13.42 	13.05 	13.26 	13.04 	13.03 	13.48 e	12.48 e	13.68 e	11.87 e	12.76 ep
A,TRA,MIO_EUR,C22,DK	1.86 	1.68 	2.09 	1.6 	1.62 	1.68 	1.33 	1.43 	1.46 	1.39 p	1.38 p
A,TRA,MIO_EUR,C22,EE	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.02 	0.01 	0.01 
A,TRA,MIO_EUR,C22,EL	0.86 	0.9 	0.96 	0.98 	0.99 	1.05 	1.05 	0.97 	1.03 	1.1 	1.18 
A,TRA,MIO_EUR,C22,ES	0.78 	0.74 	0.77 	0.81 	0.84 	0.92 	0.99 	0.82 	0.83 	0.81 	0.85 
A,TRA,MIO_EUR,C22,EU27_2020	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C22,FI	0.6 	0.53 	1.05 b	1.27 	1.12 	1.09 	1.22 	0.94 	0.97 	0.74 	0.63 
A,TRA,MIO_EUR,C22,FR	8.24 e	7.82 e	7.93 e	7.36 e	8.37 e	9.33 e	7.96 e	5.99 e	6.86 e	7.19 p	7 p
A,TRA,MIO_EUR,C22,HR	0.58 	0.56 	0.57 	0.6 	0.66 	0.64 	0.66 	0.57 	0.57 	0.62 	0.68 
A,TRA,MIO_EUR,C22,HU	1.02 	1.01 	1.08 	1.15 	8.65 	1.27 	1.09 	1.27 	1.28 	1.55 	1.52 
A,TRA,MIO_EUR,C22,IE	0.27 	0.44 	0.42 	0.52 	0.46 	0.5 	0.45 	0.6 	0.47 	0.5 	0.54 
A,TRA,MIO_EUR,C22,IS	0.03 	0.04 	0.05 	0.05 	0.12 	0.04 	0.03 	0.03 	0.05 	0.05 	0.07 
A,TRA,MIO_EUR,C22,IT	9.91 	9.82 	9.78 	10.58 	10.43 	10.6 	10.34 	9.04 	10.27 	10.92 	11 
A,TRA,MIO_EUR,C22,LT	0.03 	0.04 	0.03 	0.04 	0.03 	0.02 	0.02 	0.03 	0.04 	0.03 	0.04 
A,TRA,MIO_EUR,C22,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C22,LV	0.08 	0.06 	0.09 	0.1 	0.03 	0.03 	0.02 	0.03 	0.05 	0.03 	0.03 
A,TRA,MIO_EUR,C22,MK	: 	: 	: 	: 	: 	0.38 	0.02 	0.37 	0.47 	0.46 	0.49 
A,TRA,MIO_EUR,C22,MT	0.02 	0.02 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 
A,TRA,MIO_EUR,C22,NL	1 	1 	3 	2 	2 	2 	1 	1 	2 	5 	5 p
A,TRA,MIO_EUR,C22,NO	0.51 	0.36 	0.34 	0.43 	0.32 	0.31 	0.3 	0.19 	0.1 	0.2 	0.09 
A,TRA,MIO_EUR,C22,PL	3.08 	3.08 	2.53 	3.61 	3.7 	3.17 	3.49 	2.15 	2.17 	2.6 	3.59 
A,TRA,MIO_EUR,C22,PT	1.13 	1.39 	1.34 	1.25 	1.31 	1.46 	1.51 	1.36 	1.4 	1.54 	1.69 
A,TRA,MIO_EUR,C22,RO	0.75 	0.75 	0.74 	0.85 	0.49 	0.53 	0.49 	0.53 	0.61 	0.63 	0.62 
A,TRA,MIO_EUR,C22,RS	0.4 	0.39 	0.4 	0.39 	0.46 	0.5 	0.54 	0.56 	0.58 	0.6 	0.69 
A,TRA,MIO_EUR,C22,SE	0.83 	0.5 	0.62 	1.06 	0.98 	0.87 	0.89 	0.99 	1.28 	1.19 	1.03 
A,TRA,MIO_EUR,C22,SI	0.18 	0.18 	0.18 	0.18 	0.16 	0.18 	0.19 	0.21 	0.18 	0.18 	0.2 
A,TRA,MIO_EUR,C22,SK	1.02 	1.03 	0.99 	1.41 	1.17 	1.12 	1.18 	0.96 	0.93 	1.02 	1 
A,TRA,MIO_EUR,C22,TR	5.2 	4.47 	5.65 	5.52 	4.78 	4.1 	4.27 	3.89 	3.63 	2.77 	5.35 
A,TRA,MIO_EUR,C23,AT	10.37 	11.87 	11.84 	12.54 	13.41 	13.65 	14.13 	13.97 	14.38 	15.6 	16.26 
A,TRA,MIO_EUR,C23,BE	7.1 	7.35 	6.13 	4.23 	3.62 	3.63 	3.52 	3.68 	3.68 	3.71 e	3.9 e
A,TRA,MIO_EUR,C23,BG	0.51 	0.69 	0.66 	0.76 	0.73 	0.63 	0.81 	0.81 	0.79 	0.83 	0.99 
A,TRA,MIO_EUR,C23,CH	2.84 	2.58 	4.02 	3.75 	4.08 	3.91 	3.94 	3.59 	3.49 	4.24 	4.84 p
A,TRA,MIO_EUR,C23,CY	0.49 	0.49 	0.44 	0.45 	0.49 	0.47 	0.5 	0.51 	0.53 	0.53 	0.55 
A,TRA,MIO_EUR,C23,CZ	1.92 	1.89 	1.87 	2 	2.13 	2.26 	2.42 	2.19 	1.91 	0.49 	0.5 
A,TRA,MIO_EUR,C23,DE	7.89 	8.19 	7.46 	7.64 	7.48 	7.68 	8.02 e	7.87 e	7.96 e	7.42 e	8.02 ep
A,TRA,MIO_EUR,C23,DK	4.08 	3.94 	3.9 	3.56 	3.27 	3.45 	3.29 	3.72 	3.86 	3.71 p	3.67 p
A,TRA,MIO_EUR,C23,EE	0.03 	0.03 	0.04 	0.03 	0.03 	0.04 	0.03 	0.03 	0.04 	0.05 	0.05 
A,TRA,MIO_EUR,C23,EL	4.79 	4.88 	4.95 	5.23 	5 	5.28 	5.32 	4.98 	5.42 	6.23 	6.93 
A,TRA,MIO_EUR,C23,ES	2.62 	2.48 	2.55 	2.7 	2.86 	3.11 	3.3 	2.73 	2.6 	2.32 	2.37 
A,TRA,MIO_EUR,C23,EU27_2020	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C23,FI	1.16 	1.18 	2 b	1.5 	1.31 	1.32 	1.29 	1.22 	1.15 	1.38 	1.27 
A,TRA,MIO_EUR,C23,FR	24.01 e	23.64 e	22.18 e	21.57 e	24.56 e	28.58 e	25.74 e	19.05 e	21.76 e	21.54 p	21.03 p
A,TRA,MIO_EUR,C23,HR	0.94 	0.91 	0.93 	0.98 	1.08 	1.04 	1.07 	0.95 	0.95 	1 	1.1 
A,TRA,MIO_EUR,C23,HU	0.81 	0.6 	0.71 	0.71 	23.39 	0.73 	0.39 	0.48 	0.51 	0.64 	0.63 
A,TRA,MIO_EUR,C23,IE	6.06 	6.85 	7.44 	6.53 	5.74 	6.33 	5.67 	5.81 	7.18 	6.79 	7.41 
A,TRA,MIO_EUR,C23,IS	0.61 	0.61 	0.71 	0.97 	1.34 	1.4 	1.2 	1.01 	1.2 	1.47 	2.07 
A,TRA,MIO_EUR,C23,IT	19.16 	18.7 	19.22 	20.54 	19.62 	19.95 	20.28 	18.42 	18.98 	20.44 	20.86 
A,TRA,MIO_EUR,C23,LT	0.15 	0.22 	0.15 	0.16 	0.15 	0.15 	0.13 	0.19 	0.2 	0.2 	0.23 
A,TRA,MIO_EUR,C23,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C23,LV	0.14 	0.47 	0.32 	0.43 	0.12 	0.13 	0.12 	0.1 	0.08 	0.1 	0.09 
A,TRA,MIO_EUR,C23,MK	: 	: 	: 	: 	: 	0.93 	0.04 	0.94 	1.17 	1.21 	1.36 
A,TRA,MIO_EUR,C23,MT	0.6 	0.65 	0.9 	0.76 	0.82 	0.88 	0.94 	1.22 	1.15 	1.01 	1.16 
A,TRA,MIO_EUR,C23,NL	8 	8 	8 	6 	6 	5 	6 	7 	4 	8 	8 p
A,TRA,MIO_EUR,C23,NO	1.92 	1.68 	1.56 	1.94 	1.61 	1.56 	1.62 	0.84 	0.79 	1.09 	0.96 
A,TRA,MIO_EUR,C23,PL	2.38 	2.69 	3.11 	4.05 	3.19 	3.24 	3.1 	1.68 	1.84 	1.65 	1.39 
A,TRA,MIO_EUR,C23,PT	2.22 	2.4 	2.46 	2.65 	2.83 	3.16 	3.42 	3.06 	3.14 	3.44 	3.79 
A,TRA,MIO_EUR,C23,RO	0.79 	0.75 	0.79 	0.76 	0.55 	0.58 	0.57 	0.61 	0.73 	0.78 	0.76 
A,TRA,MIO_EUR,C23,RS	0.46 	0.41 	0.46 	0.37 	0.48 	0.49 	0.56 	0.59 	0.62 	0.64 	0.72 
A,TRA,MIO_EUR,C23,SE	1.61 	1.09 	1.32 	2.01 	2.14 	1.87 	1.87 	2.12 	2.3 	2.15 	1.82 
A,TRA,MIO_EUR,C23,SI	0.18 	0.19 	0.19 	0.19 	0.19 	0.19 	0.19 	0.17 	0.18 	0.19 	0.2 
A,TRA,MIO_EUR,C23,SK	2.2 	2.23 	2.1 	2.89 	3.21 	3.29 	3.76 	3.05 	2.63 	2.71 	2.93 
A,TRA,MIO_EUR,C23,TR	11.2 	11.08 	14.97 	14.86 	13.06 	10.64 	10.2 	9.82 	9.07 	7.89 	15.24 
A,TRA,MIO_EUR,C24,AT	1.48 	1.69 	1.69 	1.79 	1.91 	1.95 	2.02 	1.99 	1.72 	1.86 	1.94 
A,TRA,MIO_EUR,C24,BE	4.24 	3.9 	1.48 	1.53 	1.54 	1.49 	1.52 	1.98 	2.18 	2.18 e	2.28 e
A,TRA,MIO_EUR,C24,BG	0.21 	0.19 	0.17 	0.12 	0.12 	0.14 	0.17 	0.13 	0.15 	0.14 	0.16 
A,TRA,MIO_EUR,C24,CH	1.13 	0.99 	1.42 	1.23 	1.31 	1.27 	1.24 	1.22 	1.21 	1.41 	1.67 p
A,TRA,MIO_EUR,C24,CY	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 
A,TRA,MIO_EUR,C24,CZ	0.42 	0.44 	0.4 	0.48 	0.49 	0.47 	0.35 	0.42 	0.39 	0.08 	0 
A,TRA,MIO_EUR,C24,DE	16.03 	15.51 	15.28 	14.35 	15.07 	15.42 	15.6 e	14.04 e	16.74 e	17.53 e	18.83 ep
A,TRA,MIO_EUR,C24,DK	0.61 	0.51 	0.55 	0.56 	0.47 	0.44 	0.41 	0.35 	0.37 	0.37 p	0.37 p
A,TRA,MIO_EUR,C24,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TRA,MIO_EUR,C24,EL	0.42 	0.45 	0.49 	0.53 	0.51 	0.52 	0.51 	0.46 	0.53 	0.58 	0.64 
A,TRA,MIO_EUR,C24,ES	0.5 	0.5 	0.52 	0.57 	0.62 	0.71 	0.79 	0.59 	0.5 	0.35 	0.36 
A,TRA,MIO_EUR,C24,EU27_2020	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C24,FI	0.48 	0.46 	1.99 b	1.69 	2.04 	2.53 	3.04 	1.48 	1.04 	1.09 	0.91 
A,TRA,MIO_EUR,C24,FR	15.43 e	15.38 e	14.63 e	12.29 e	14.69 e	17.27 e	14.39 e	9.51 e	12.42 e	11.35 p	10.39 p
A,TRA,MIO_EUR,C24,HR	0.35 	0.34 	0.35 	0.37 	0.41 	0.39 	0.41 	0.36 	0.36 	0.38 	0.41 
A,TRA,MIO_EUR,C24,HU	0.34 	0.27 	0.28 	0.29 	11.73 	0.3 	0.23 	0.26 	0.25 	0.29 	0.28 
A,TRA,MIO_EUR,C24,IE	0.18 	0.11 	0.21 	0.19 	0.25 	0.26 	0.22 	0.26 	0.21 	0.2 	0.21 
A,TRA,MIO_EUR,C24,IS	0.02 	0.02 	0.02 	0.02 	0.02 	0.05 	0.03 	0.01 	0.04 	0.04 	0.05 
A,TRA,MIO_EUR,C24,IT	4.57 	4.66 	4.68 	4.94 	5.36 	5.57 	5.58 	4.75 	5.21 	5.48 	5.72 
A,TRA,MIO_EUR,C24,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TRA,MIO_EUR,C24,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C24,LV	0.07 	0.03 	0.05 	0.05 	0.02 	0.01 	0.02 	0.01 	0.01 	0.01 	0.01 
A,TRA,MIO_EUR,C24,MK	: 	: 	: 	: 	: 	0.08 	0 	0.06 	0.08 	0.1 	0.11 
A,TRA,MIO_EUR,C24,MT	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
A,TRA,MIO_EUR,C24,NL	0 	0 	1 	1 	0 	1 	0 	0 	0 	0 	0 p
A,TRA,MIO_EUR,C24,NO	1.02 	0.84 	0.56 	0.97 	1.5 	1.67 	1.62 	0.37 	0.39 	0.99 	1.4 
A,TRA,MIO_EUR,C24,PL	0.65 	0.64 	0.75 	0.75 	0.84 	0.83 	0.82 	0.34 	0.37 	0.51 	0.75 
A,TRA,MIO_EUR,C24,PT	0.45 	0.45 	0.46 	0.68 	0.7 	0.72 	0.8 	0.68 	0.71 	0.78 	0.85 
A,TRA,MIO_EUR,C24,RO	0.15 	0.16 	0.14 	0.14 	0.11 	0.11 	0.1 	0.11 	0.12 	0.13 	0.12 
A,TRA,MIO_EUR,C24,RS	0.16 	0.13 	0.17 	0.09 	0.15 	0.15 	0.18 	0.19 	0.2 	0.21 	0.23 
A,TRA,MIO_EUR,C24,SE	0.46 	0.3 	0.42 	0.64 	0.6 	0.55 	0.57 	0.64 	0.7 	0.65 	0.61 
A,TRA,MIO_EUR,C24,SI	0.03 	0.05 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 
A,TRA,MIO_EUR,C24,SK	1.07 	0.97 	1.06 	1.18 	1.18 	1.05 	1.18 	0.86 	1.12 	0.94 	0.99 
A,TRA,MIO_EUR,C24,TR	1.73 	1.9 	2.73 	2.62 	2.28 	2.02 	2.14 	1.97 	2.02 	1.61 	3.2 
A,TRA,MIO_EUR,C25,AT	9.52 	10.89 	10.87 	11.51 	12.31 	12.53 	12.97 	12.82 	13.2 	14.32 	14.93 
A,TRA,MIO_EUR,C25,BE	10.7 	10.64 	10.05 	8.86 	8.53 	8.81 	8.73 	8.95 	9.03 	9.03 e	9.53 e
A,TRA,MIO_EUR,C25,BG	0.57 	0.74 	0.72 	0.7 	0.71 	0.78 	0.87 	0.78 	0.86 	0.85 	0.89 
A,TRA,MIO_EUR,C25,CH	11.56 	10.41 	15.88 	14.58 	16.24 	16.03 	15.8 	14.06 	13.6 	16.7 	18.89 p
A,TRA,MIO_EUR,C25,CY	0.54 	0.59 	0.6 	0.59 	0.61 	0.54 	0.55 	0.59 	0.53 	0.52 	0.55 
A,TRA,MIO_EUR,C25,CZ	4.39 	4.07 	5.06 	4.99 	5.32 	5.77 	5.1 	5.52 	5.46 	0.81 	0.67 
A,TRA,MIO_EUR,C25,DE	19.69 	19.52 	19.3 	19.82 	19.58 	19.78 	20.4 e	19.11 e	20.42 e	19.12 e	20.44 ep
A,TRA,MIO_EUR,C25,DK	9.71 	9.52 	9.92 	8.9 	9.49 	8.99 	9.3 	8.71 	9.07 	8.71 p	8.61 p
A,TRA,MIO_EUR,C25,EE	0.05 	0.06 	0.05 	0.06 	0.06 	0.06 	0.06 	0.05 	0.06 	0.06 	0.06 
A,TRA,MIO_EUR,C25,EL	4.4 	4.4 	4.41 	4.29 	4.25 	4.35 	4.41 	4.08 	4.51 	5.06 	5.58 
A,TRA,MIO_EUR,C25,ES	4.84 	4.58 	4.54 	4.7 	4.71 	4.79 	4.82 	4.58 	5.16 	5.85 	6.01 
A,TRA,MIO_EUR,C25,EU27_2020	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C25,FI	3.09 	3.08 	4.8 b	4.87 	5.09 	5.49 	5.35 	4.87 	4.19 	5.39 	5.2 
A,TRA,MIO_EUR,C25,FR	20.58 e	20.08 e	19.55 e	20.15 e	21.92 e	25.09 e	22.62 e	17.56 e	19.83 e	20.27 p	21.14 p
A,TRA,MIO_EUR,C25,HR	1.24 	1.2 	1.23 	1.3 	1.43 	1.37 	1.42 	1.3 	1.31 	1.32 	1.42 
A,TRA,MIO_EUR,C25,HU	1.07 	1.06 	1.08 	1.13 	10.76 	1.23 	1.3 	1.52 	1.54 	1.93 	2 
A,TRA,MIO_EUR,C25,IE	0.68 	0.98 	0.95 	1.03 	1.09 	1.02 	0.67 	1.37 	1.06 	1.16 	1.24 
A,TRA,MIO_EUR,C25,IS	0.2 	0.28 	0.34 	0.56 	0.7 	0.55 	0.49 	0.41 	0.48 	0.6 	0.84 
A,TRA,MIO_EUR,C25,IT	54.64 	55.37 	56.41 	61.2 	60.4 	61.92 	61.77 	53.08 	62 	65.42 	65.05 
A,TRA,MIO_EUR,C25,LT	0.04 	0.05 	0.04 	0.05 	0.04 	0.04 	0.04 	0.07 	0.09 	0.09 	0.13 
A,TRA,MIO_EUR,C25,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,TRA,MIO_EUR,C25,LV	0.23 	0.23 	0.24 	0.26 	0.08 	0.09 	0.08 	0.09 	0.09 	0.08 	0.1 
